阶段,分组,排名,球队,场次,胜,平,负,进球,失球,净胜球,积分,近况,出线状态
世界杯小组赛,Group A,1,Mexico,3,3,0,0,6,0,6,9,WWW,ConfirmedQualified
世界杯小组赛,Group A,2,South Africa,3,1,1,1,2,3,-1,4,LDW,ConfirmedQualified
世界杯小组赛,Group A,3,Korea Republic,3,1,0,2,2,3,-1,3,WLL,Eliminated
世界杯小组赛,Group A,4,Czechia,3,0,1,2,2,6,-4,1,LDL,Eliminated
世界杯小组赛,Group B,1,Switzerland,3,2,1,0,7,3,4,7,DWW,ConfirmedQualified
世界杯小组赛,Group B,2,Canada,3,1,1,1,8,3,5,4,DWL,ConfirmedQualified
世界杯小组赛,Group B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,DLW,ConfirmedQualified
世界杯小组赛,Group B,4,Qatar,3,0,1,2,2,10,-8,1,DLL,Eliminated
世界杯小组赛,Group C,1,Brazil,3,2,1,0,7,1,6,7,DWW,ConfirmedQualified
世界杯小组赛,Group C,2,Morocco,3,2,1,0,6,3,3,7,DWW,ConfirmedQualified
世界杯小组赛,Group C,3,Scotland,3,1,0,2,1,4,-3,3,WLL,Eliminated
世界杯小组赛,Group C,4,Haiti,3,0,0,3,2,8,-6,0,LLL,Eliminated
世界杯小组赛,Group D,1,USA,3,2,0,1,8,4,4,6,WWL,ConfirmedQualified
世界杯小组赛,Group D,2,Australia,3,1,1,1,2,2,0,4,WLD,ConfirmedQualified
世界杯小组赛,Group D,3,Paraguay,3,1,1,1,2,4,-2,4,LWD,ConfirmedQualified
世界杯小组赛,Group D,4,Türkiye,3,1,0,2,3,5,-2,3,LLW,Eliminated
世界杯小组赛,Group E,1,Germany,3,2,0,1,10,4,6,6,WWL,ConfirmedQualified
世界杯小组赛,Group E,2,Côte d'Ivoire,3,2,0,1,4,2,2,6,WLW,ConfirmedQualified
世界杯小组赛,Group E,3,Ecuador,3,1,1,1,2,2,0,4,LDW,ConfirmedQualified
世界杯小组赛,Group E,4,Curaçao,3,0,1,2,1,9,-8,1,LDL,Eliminated
世界杯小组赛,Group F,1,Netherlands,3,2,1,0,10,4,6,7,DWW,ConfirmedQualified
世界杯小组赛,Group F,2,Japan,3,1,2,0,7,3,4,5,DWD,ConfirmedQualified
世界杯小组赛,Group F,3,Sweden,3,1,1,1,7,7,0,4,WLD,ConfirmedQualified
世界杯小组赛,Group F,4,Tunisia,3,0,0,3,2,12,-10,0,LLL,Eliminated
世界杯小组赛,Group G,1,Belgium,3,1,2,0,6,2,4,5,DDW,ConfirmedQualified
世界杯小组赛,Group G,2,Egypt,3,1,2,0,5,3,2,5,DWD,ConfirmedQualified
世界杯小组赛,Group G,3,IR Iran,3,0,3,0,3,3,0,3,DDD,Eliminated
世界杯小组赛,Group G,4,New Zealand,3,0,1,2,4,10,-6,1,DLL,Eliminated
世界杯小组赛,Group H,1,Spain,3,2,1,0,5,0,5,7,DWW,ConfirmedQualified
世界杯小组赛,Group H,2,Cabo Verde,3,0,3,0,2,2,0,3,DDD,ConfirmedQualified
世界杯小组赛,Group H,3,Uruguay,3,0,2,1,3,4,-1,2,DDL,Eliminated
世界杯小组赛,Group H,4,Saudi Arabia,3,0,2,1,1,5,-4,2,DLD,Eliminated
世界杯小组赛,Group I,1,France,3,3,0,0,10,2,8,9,WWW,ConfirmedQualified
世界杯小组赛,Group I,2,Norway,3,2,0,1,8,7,1,6,WWL,ConfirmedQualified
世界杯小组赛,Group I,3,Senegal,3,1,0,2,8,6,2,3,LLW,ConfirmedQualified
世界杯小组赛,Group I,4,Iraq,3,0,0,3,1,12,-11,0,LLL,Eliminated
世界杯小组赛,Group J,1,Argentina,3,3,0,0,8,1,7,9,WWW,ConfirmedQualified
世界杯小组赛,Group J,2,Austria,3,1,1,1,6,6,0,4,WLD,ConfirmedQualified
世界杯小组赛,Group J,3,Algeria,3,1,1,1,5,7,-2,4,LWD,ConfirmedQualified
世界杯小组赛,Group J,4,Jordan,3,0,0,3,3,8,-5,0,LLL,Eliminated
世界杯小组赛,Group K,1,Colombia,3,2,1,0,4,1,3,7,WWD,ConfirmedQualified
世界杯小组赛,Group K,2,Portugal,3,1,2,0,6,1,5,5,DWD,ConfirmedQualified
世界杯小组赛,Group K,3,Congo DR,3,1,1,1,4,3,1,4,DLW,ConfirmedQualified
世界杯小组赛,Group K,4,Uzbekistan,3,0,0,3,2,11,-9,0,LLL,Eliminated
世界杯小组赛,Group L,1,England,3,2,1,0,6,2,4,7,WDW,ConfirmedQualified
世界杯小组赛,Group L,2,Croatia,3,2,0,1,5,5,0,6,LWW,ConfirmedQualified
世界杯小组赛,Group L,3,Ghana,3,1,1,1,2,2,0,4,WDL,ConfirmedQualified
世界杯小组赛,Group L,4,Panama,3,0,0,3,0,4,-4,0,LLL,Eliminated
